Measure,Session Year,Subject,Author,Status
AB-89,2015 - 2016,Sales and use taxes: exemptions: public schools.,Travis Allen,Assembly - Died - Revenue and Taxation
AB-89,2017 - 2018,Psychologists: suicide prevention training.,Levine,Chaptered
AB-89,2019 - 2020,Budget Act of 2020.,Ting,Chaptered
AB-89,2021 - 2022,Peace officers: minimum qualifications.,Jones-Sawyer,Assembly - Second Reading
AB-90,2009 - 2010,Torts: personal liability immunity.,Adams,Assembly - Died - Judiciary
AB-90,2011 - 2012,Human trafficking: minors.,Swanson,Chaptered
AB-90,2013 - 2014,Budget Act of 2013.,Committee on Budget,Senate - Died - Rules
AB-90,2015 - 2016,Federal Housing Trust Fund.,Chau,Chaptered
AB-90,2017 - 2018,Criminal gangs.,Weber,Chaptered
AB-90,2019 - 2020,Transportation.,Committee on Budget,Chaptered
AB-90,2021 - 2022,Consumer credit reports: security freezes: protected consumers.,Valladares,Assembly - Banking and Finance
AB-91,2009 - 2010,Vehicles: driving under the influence (DUI): ignition interlock device.,Feuer,Chaptered
AB-91,2011 - 2012,Community colleges: student financial aid: pilot program.,Portantino,Vetoed
AB-91,2013 - 2014,Transportation.,Blumenfield,Senate - Died
AB-91,2015 - 2016,Budget Act of 2014.,Committee on Budget,Chaptered
AB-91,2017 - 2018,High-occupancy vehicle lanes.,Cervantes,Chaptered
AB-91,2019 - 2020,Income taxation: Loophole Closure and Small Business and Working Families Tax Relief Act of 2019.,Burke,Chaptered
AB-91,2021 - 2022,Taxation: corporations: minimum franchise tax: limited liability companies: annual tax: small businesses: microbusinesses.,Valladares,Assembly - Revenue and Taxation
AB-92,2009 - 2010,State claims.,De Leon,Chaptered
AB-92,2011 - 2012,2011–12 Budget.,Blumenfield,Assembly - Died - Budget
AB-92,2013 - 2014,State government.,Committee on Budget,Chaptered
AB-92,2015 - 2016,Water.,Committee on Budget,Chaptered
AB-92,2017 - 2018,Public contracts: payment.,Bonta,Chaptered
AB-92,2019 - 2020,Public resources: omnibus trailer bill.,Committee on Budget,Chaptered
AB-92,2021 - 2022,Preschool and childcare and development services: family fees.,Reyes,Assembly - Second Reading
AB-93,2009 - 2010,Claims against the state: appropriation.,De Leon,Chaptered
AB-93,2011 - 2012,Elections: City of Bell.,Lara,Chaptered
AB-93,2013 - 2014,"Economic development: taxation: credits, deductions, exemptions, and net operating losses.",Committee on Budget,Chaptered
AB-93,2015 - 2016,Budget Act of 2015.,Weber,Chaptered
AB-93,2017 - 2018,Healing arts: marriage and family therapists: clinical social workers: professional clinical counselors: required experience and supervision.,Medina,Chaptered
AB-93,2019 - 2020,Personal income taxes: earned income tax credit: young child tax credit: federal individual taxpayer identification number.,Committee on Budget,Chaptered
AB-93,2021 - 2022,Pandemic response practices.,Eduardo Garcia,Assembly - Health
AB-94,2009 - 2010,Natural Heritage Preservation Tax Credit Act of 2000.,Evans,Chaptered
AB-94,2011 - 2012,Criminal justice realignment.,Committee on Budget,Chaptered
AB-94,2013 - 2014,Education finance: higher education.,Committee on Budget,Chaptered
AB-94,2015 - 2016,Health.,Committee on Budget,Senate - Died
AB-94,2017 - 2018,Corporation Tax Law: exemption: veteran’s organizations.,Rodriguez,Chaptered
AB-94,2019 - 2020,Postsecondary education trailer bill.,Committee on Budget,Assembly - Died
AB-94,2021 - 2022,Correctional officers.,Jones-Sawyer,Assembly - Public Employment and Retirement
AB-95,2009 - 2010,Student athletes: recruiting: disclosure.,Torlakson,Assembly - Died - Higher Education
AB-95,2011 - 2012,Public resources.,Committee on Budget,Chaptered
AB-95,2013 - 2014,Budget Act of 2012: augmentation.,Committee on Budget,Senate - Died
AB-95,2015 - 2016,Transportation.,Committee on Budget,Chaptered
AB-95,2017 - 2018,Public postsecondary education: California State University: Baccalaureate Degree Pilot Program.,Jones-Sawyer,Assembly - Died - Higher Education
AB-95,2019 - 2020,Courts.,Committee on Budget,Senate - Died - Budget and Fiscal Review
AB-95,2021 - 2022,Employees: bereavement leave.,Low,Assembly - Appropriations
AB-96,2009 - 2010,Gasoline: underground storage tanks.,Ruskin,Chaptered
AB-96,2011 - 2012,Keeping Adults Free from Institutions program.,Committee on Budget,Vetoed
AB-96,2013 - 2014,Budget Act of 2013.,Committee on Budget,Senate - Died - Rules
AB-96,2015 - 2016,Animal parts and products: importation or sale of ivory and rhinoceros horn.,Atkins,Chaptered
AB-96,2017 - 2018,Budget Act of 2017.,Ting,Assembly - Died - Budget
AB-96,2019 - 2020,Emergency Telephone Users Surcharge Act.,Committee on Budget,Senate - Died - Budget and Fiscal Review
AB-96,2021 - 2022,"California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program.",O'Donnell,Assembly - Transportation
AB-97,2009 - 2010,School curriculum: content standards.,Torlakson,Vetoed
AB-97,2011 - 2012,Health care services.,Committee on Budget,Chaptered
AB-97,2013 - 2014,School finance.,Committee on Budget,Chaptered
AB-97,2015 - 2016,In-home supportive services: provider wages.,Weber,Vetoed
AB-97,2017 - 2018,Budget Act of 2017.,Ting,Chaptered
AB-97,2019 - 2020,Cannabis.,Committee on Budget,Chaptered
AB-97,2021 - 2022,Health care coverage: insulin affordability.,Nazarian,Assembly - Appropriations
AB-98,2009 - 2010,Maternity services.,De La Torre,Vetoed
AB-98,2011 - 2012,Budget Act of 2011.,Committee on Budget,Vetoed
AB-98,2013 - 2014,Property insurance: Seismic Safety Account.,Committee on Budget,Chaptered
AB-98,2015 - 2016,Corporation Tax Law.,Travis Allen,Assembly - Died
AB-98,2017 - 2018,Budget Act of 2016: augmentation.,Committee on Budget,Chaptered
AB-98,2019 - 2020,Budget Act of 2019.,Ting,Senate - Died - Budget and Fiscal Review
